Year,Round,Seed,Team,Percent
2019,R64,8,Ole Miss,51.7
2019,R32,8,Syracuse,10.8
2019,S16,12,Murray State,2.9
2019,E8,6,Maryland,0.9
2019,F4,12,Murray State,0.4
2019,NCG,7,Cincinnati,0.2
2019,R64,8,Utah State,51.1
2019,R32,7,Wofford,9.4
2019,S16,5,Mississippi St,2.2
2019,E8,5,Mississippi St,0.8
2019,F4,11,Ohio State,0.3
2019,NCG,11,Ohio State,0.2
2019,R64,9,Washington,48.9
2019,R32,11,Ohio State,9.1
2019,S16,11,Ohio State,2.1
2019,E8,11,Ohio State,0.7
2019,F4,5,Mississippi St,0.3
2019,NCG,16,Gardner-Webb,0.1
2019,R64,9,Oklahoma,48.4
2019,R32,10,Florida,8.9
2019,S16,10,Seton Hall,1.9
2019,E8,9,Baylor,0.6
2019,F4,16,North Dakota St,0.3
2019,NCG,5,Mississippi St,0.1
2019,R64,10,Florida,48.3
2019,R32,11,Saint Mary's,7.5
2019,S16,9,Oklahoma,1.8
2019,E8,9,Oklahoma,0.6
2019,F4,16,Gardner-Webb,0.3
2019,NCG,16,Iona,0.1
2019,R64,10,Seton Hall,45.3
2019,R32,13,UC Irvine,6.5
2019,S16,8,Ole Miss,1.8
2019,E8,8,Ole Miss,0.6
2019,F4,9,Oklahoma,0.2
2019,NCG,9,Oklahoma,0.1
2019,R64,8,VCU,44.9
2019,R32,12,New Mexico St,6.2
2019,S16,11,Saint Mary's,1.7
2019,E8,11,Saint Mary's,0.6
2019,F4,9,Washington,0.2
2019,NCG,9,Washington,0.1
2019,R64,12,Murray State,42.3
2019,R32,14,Yale,5.7
2019,S16,9,Baylor,1.7
2019,E8,9,Washington,0.5
2019,F4,16,Iona,0.2
2019,NCG,16,North Dakota St,0.1
2019,R64,12,Oregon,39.1
2019,R32,12,Liberty,5.5
2019,S16,10,Iowa,1.6
2019,E8,10,Seton Hall,0.5
2019,F4,9,Baylor,0.2
2019,NCG,8,Utah State,0.1
2019,R64,9,Baylor,35.7
2019,R32,10,Seton Hall,5.2
2019,S16,11,Belmont,1.5
2019,E8,16,Gardner-Webb,0.5
2019,F4,10,Seton Hall,0.2
2019,NCG,9,UCF,0.1
2019,R64,10,Iowa,34.5
2019,R32,10,Iowa,5.1
2019,S16,10,Minnesota,1.4
2019,E8,10,Iowa,0.5
2019,F4,8,Ole Miss,0.2
2019,NCG,9,Baylor,0.1
2019,R64,10,Minnesota,33.6
2019,R32,11,Arizona State,5.0
2019,S16,8,Utah State,1.3
2019,E8,16,F. Dickinson,0.5
2019,F4,8,Utah State,0.2
2019,NCG,10,Minnesota,0.1
2019,R64,11,Belmont,32.6
2019,R32,13,Saint Louis,4.7
2019,S16,9,Washington,1.3
2019,E8,16,Iona,0.5
2019,F4,9,UCF,0.2
2019,NCG,10,Iowa,0.1
2019,R64,11,Ohio State,28.7
2019,R32,9,Oklahoma,4.6
2019,S16,13,UC Irvine,1.2
2019,E8,16,North Dakota St,0.5
2019,F4,10,Iowa,0.2
2019,NCG,10,Seton Hall,0.1
2019,R64,12,Liberty,25.7
2019,R32,8,Ole Miss,4.3
2019,S16,11,Arizona State,1.2
2019,E8,8,Utah State,0.5
2019,F4,16,F. Dickinson,0.2
2019,NCG,8,Ole Miss,0.1
2019,R64,11,Saint Mary's,23.6
2019,R32,9,Baylor,4.0
2019,S16,9,UCF,1.1
2019,E8,9,UCF,0.4
2019,F4,10,Minnesota,0.2
2019,NCG,11,Arizona State,0.1
2019,R64,11,Arizona State,22.5
2019,R32,13,Vermont,3.8
2019,S16,14,Yale,1.0
2019,E8,13,UC Irvine,0.4
2019,F4,11,Saint Mary's,0.2
2019,NCG,11,Saint Mary's,0.1
2019,R64,13,UC Irvine,21.4
2019,R32,10,Minnesota,3.8
2019,S16,12,New Mexico St,1.0
2019,E8,11,Arizona State,0.4
2019,F4,11,Arizona State,0.2
2019,NCG,14,Yale,0.1
2019,R64,12,New Mexico St,18.9
2019,R32,8,Utah State,3.2
2019,S16,15,Montana,1.0
2019,E8,10,Minnesota,0.4
2019,F4,13,UC Irvine,0.2
2019,NCG,15,Abil Christian,0.1
2019,R64,14,Yale,17.2
2019,R32,9,Washington,3.1
2019,S16,15,Bradley,1.0
2019,E8,11,Belmont,0.4
2019,F4,14,Yale,0.2
2019,NCG,16,F. Dickinson,0.1
2019,R64,13,Saint Louis,12.8
2019,R32,13,Northeastern,2.9
2019,S16,15,Colgate,1.0
2019,E8,8,VCU,0.4
2019,F4,15,Abil Christian,0.2
2019,NCG,8,VCU,0.1
2019,R64,13,Vermont,12.2
2019,R32,14,Georgia State,2.9
2019,S16,8,VCU,0.9
2019,E8,12,New Mexico St,0.4
2019,F4,8,VCU,0.2
2019,NCG,13,UC Irvine,0.1
2019,R64,13,Northeastern,11.5
2019,R32,14,Old Dominion,2.8
2019,S16,15,Abil Christian,0.9
2019,E8,14,Yale,0.3
2019,F4,12,New Mexico St,0.2
2019,NCG,11,Belmont,0.1
2019,R64,14,Old Dominion,10.3
2019,R32,14,N Kentucky,2.8
2019,S16,16,Gardner-Webb,0.9
2019,E8,15,Abil Christian,0.3
2019,F4,11,Belmont,0.1
2019,NCG,12,Liberty,0.1
2019,R64,14,Georgia State,9.3
2019,R32,9,UCF,2.5
2019,S16,13,Vermont,0.8
2019,E8,12,Liberty,0.3
2019,F4,12,Liberty,0.1
2019,NCG,12,New Mexico St,0.1
2019,R64,14,N Kentucky,8.3
2019,R32,8,VCU,2.2
2019,S16,16,F. Dickinson,0.8
2019,E8,15,Montana,0.3
2019,F4,13,Saint Louis,0.1
2019,NCG,13,Saint Louis,0.1
2019,R64,15,Montana,4.5
2019,R32,15,Colgate,1.8
2019,S16,16,Iona,0.8
2019,E8,13,Vermont,0.3
2019,F4,13,Northeastern,0.1
2019,NCG,13,Northeastern,0.1
2019,R64,15,Colgate,4.4
2019,R32,15,Montana,1.8
2019,S16,14,Georgia State,0.8
2019,E8,15,Colgate,0.3
2019,F4,15,Montana,0.1
2019,NCG,13,Vermont,0.1
2019,R64,15,Bradley,4.2
2019,R32,15,Bradley,1.8
2019,S16,14,Old Dominion,0.7
2019,E8,13,Saint Louis,0.3
2019,F4,13,Vermont,0.1
2019,NCG,14,Old Dominion,0.1
2019,R64,15,Abil Christian,3.8
2019,R32,15,Abil Christian,1.7
2019,S16,16,North Dakota St,0.7
2019,E8,13,Northeastern,0.3
2019,F4,14,Old Dominion,0.1
2019,NCG,14,Georgia State,0.1
2019,R64,16,Gardner-Webb,3.4
2019,R32,16,Gardner-Webb,1.6
2019,S16,13,Northeastern,0.7
2019,E8,14,Old Dominion,0.3
2019,F4,14,Georgia State,0.1
2019,NCG,15,Bradley,0.1
2019,R64,16,F. Dickinson,3.2
2019,R32,16,Iona,1.4
2019,S16,12,Liberty,0.7
2019,E8,14,Georgia State,0.3
2019,F4,15,Colgate,0.1
2019,NCG,15,Montana,0.1
2019,R64,16,Iona,2.9
2019,R32,16,F. Dickinson,1.4
2019,S16,14,N Kentucky,0.7
2019,E8,15,Bradley,0.3
2019,F4,14,N Kentucky,0.1
2019,NCG,15,Colgate,0.1
2019,R64,16,North Dakota St,2.5
2019,R32,16,North Dakota St,1.2
2019,S16,13,Saint Louis,0.7
2019,E8,14,N Kentucky,0.3
2019,F4,15,Bradley,0.1
2019,NCG,14,N Kentucky,0.0
