iter	Logloss
0	0.6716777017
1	0.6530472671
2	0.6360008397
3	0.6192482177
4	0.6058475087
5	0.5905947613
6	0.5785720267
7	0.5674877199
8	0.557223059
9	0.5469140679
10	0.5397177193
11	0.5316341022
12	0.5249380266
13	0.5178127899
14	0.5119023211
15	0.5053692941
16	0.5006349789
17	0.4958219786
18	0.4918524527
19	0.4868328678
20	0.4822446376
21	0.4788289131
22	0.4758358636
23	0.4712946303
24	0.4674324045
25	0.4633061552
26	0.4594319009
27	0.4552980487
28	0.4524754543
29	0.4499335507
30	0.4474560692
31	0.445557407
32	0.4429978042
33	0.4405906333
34	0.4393625971
35	0.436818167
36	0.4344311321
37	0.4315289349
38	0.428865754
39	0.427121177
40	0.4251563943
41	0.4232063632
42	0.4221487758
43	0.4198326185
44	0.4173067137
45	0.4144098586
46	0.4133250049
47	0.4119823249
48	0.4101934199
49	0.4087835561
50	0.407305116
51	0.4059949167
52	0.4048370502
53	0.4031175181
54	0.4013786163
55	0.400421681
56	0.3990256952
57	0.3975321584
58	0.3962048925
59	0.3944918112
60	0.3934617344
61	0.3922717134
62	0.3909610831
63	0.3898555614
64	0.3881587188
65	0.3871871686
66	0.386199031
67	0.3850008315
68	0.3834824632
69	0.3821129031
70	0.3808796872
71	0.3800288643
72	0.3790733683
73	0.3783882797
74	0.3771066391
75	0.3758143517
76	0.3746428496
77	0.373150004
78	0.3718637
79	0.3706998418
80	0.3694552913
81	0.3682332058
82	0.3673979489
83	0.3663210021
84	0.3656401044
85	0.3650454252
86	0.3642011371
87	0.3630058773
88	0.362006438
89	0.3613802085
90	0.3607722325
91	0.3596728559
92	0.3588123753
93	0.3580254945
94	0.3568874209
95	0.3558852736
96	0.3549720949
97	0.3538486819
98	0.3533706995
99	0.3523988166
100	0.3511921875
101	0.350404577
102	0.3493650937
103	0.3483496251
104	0.3475308103
105	0.3467118354
106	0.3460368947
107	0.3450348122
108	0.3441238652
109	0.3429329537
110	0.3417477982
111	0.3408732725
112	0.3393162763
113	0.3379584792
114	0.3372765314
115	0.3366758051
116	0.3353444206
117	0.3347718366
118	0.3337355308
119	0.3327439404
120	0.3321925469
121	0.331492098
122	0.330562322
123	0.3293852726
124	0.3286324896
125	0.3278721364
126	0.3267795342
127	0.3259317281
128	0.324753152
129	0.3244888321
130	0.3236605518
131	0.3228182417
132	0.3218541795
133	0.3213937483
134	0.3207808497
135	0.31979502
136	0.3187309042
137	0.3177720109
138	0.3168155929
139	0.3158661018
140	0.3150437166
141	0.3140695679
142	0.313461797
143	0.3127731443
144	0.3121478904
145	0.3109918031
146	0.3101252701
147	0.3090699702
148	0.3079111759
149	0.3071358253
150	0.3063452974
151	0.3056529196
152	0.3048530734
153	0.3042987175
154	0.303381945
155	0.3025017768
156	0.301506214
157	0.3007503296
158	0.2995571081
159	0.2990412392
160	0.2975198601
161	0.2964536414
162	0.2952100679
163	0.2943848163
164	0.29393753
165	0.2930025845
166	0.2923942718
167	0.2918328341
168	0.2911178141
169	0.2904559081
170	0.2897425937
171	0.2887704791
172	0.287731511
173	0.2869439694
174	0.2857707674
175	0.2850134072
176	0.2843078757
177	0.2836040877
178	0.2831072527
179	0.2826839927
180	0.2819323931
181	0.280930255
182	0.2800115591
183	0.2790306236
184	0.2784509562
185	0.2778484034
186	0.2769616386
187	0.2758580719
188	0.2751315113
189	0.2743571866
190	0.2731586067
191	0.2721637191
192	0.2711759392
193	0.2705239098
194	0.269765449
195	0.2690782955
196	0.2682733213
197	0.2674806637
198	0.2673709757
199	0.2668174363
200	0.2663711139
201	0.2657656097
202	0.264777874
203	0.264072257
204	0.2633183671
205	0.2624303557
206	0.2619503349
207	0.2606676395
208	0.2597283394
209	0.2588349187
210	0.2581301997
211	0.2575402528
212	0.2570322726
213	0.2568284506
214	0.2564304567
215	0.2558759215
216	0.2550642952
217	0.2544348307
218	0.2537304317
219	0.2526541995
220	0.2516375272
221	0.2506065055
222	0.2499230384
223	0.249270879
224	0.2484897945
225	0.2478590637
226	0.2469947442
227	0.2464075201
228	0.2459244199
229	0.245251398
230	0.2449043786
231	0.2440980675
232	0.2434252548
233	0.2433031393
234	0.2423776708
235	0.242347117
236	0.242256675
237	0.2415769793
238	0.2415272596
239	0.2406199053
240	0.2396837636
241	0.2387774446
242	0.2376858106
243	0.2366113622
244	0.2358785887
245	0.2348373794
246	0.2342913111
247	0.2332290269
248	0.2326825034
249	0.2324705271
250	0.2321560939
251	0.2314274179
252	0.2310319697
253	0.2305276938
254	0.2299150687
255	0.2292358547
256	0.2288909842
257	0.2281030871
258	0.2275075548
259	0.2265821555
260	0.2261193196
261	0.2259170763
262	0.2250226552
263	0.2245386715
264	0.2242033714
