iter	Logloss
265	0.2237663377
266	0.223056863
267	0.2223724753
268	0.2216010585
269	0.2211066636
270	0.2202074823
271	0.2193450602
272	0.2184383083
273	0.2180008995
274	0.2178987177
275	0.2172093903
276	0.2165405621
277	0.2163987536
278	0.2162036936
279	0.2157648627
280	0.2148585811
281	0.2140582468
282	0.213399391
283	0.2125591065
284	0.2116692936
285	0.2108691544
286	0.2101276047
287	0.2096731571
288	0.2088765683
289	0.2081023719
290	0.2072972335
291	0.2069642801
292	0.2065117746
293	0.205863666
294	0.2055321814
295	0.2050696274
296	0.2046364596
297	0.2037750424
298	0.2032554711
299	0.2029711598
300	0.2023964395
301	0.201800438
302	0.2009557092
303	0.2000761292
304	0.1996250683
305	0.1988396742
306	0.1981650702
307	0.1975022295
308	0.1969750771
309	0.1964783502
310	0.1956612409
311	0.1947998992
312	0.1947156957
313	0.1943947485
314	0.1933147981
315	0.1925411844
316	0.1919242904
317	0.1913074847
318	0.1906430372
319	0.1899269718
320	0.1896329188
321	0.1887253643
322	0.1879041282
323	0.1878559986
324	0.1877967141
325	0.1871631351
326	0.1866478329
327	0.1865863584
328	0.1861786719
329	0.1854934298
330	0.1850709603
331	0.1846629956
332	0.1843265887
333	0.1837083379
334	0.1835838435
335	0.1831078708
336	0.1829736681
337	0.1829154735
338	0.1824192539
339	0.182020765
340	0.1816334561
341	0.181616501
342	0.1815417958
343	0.1811067677
344	0.1808457256
345	0.1805373948
346	0.1803124949
347	0.1794333291
348	0.178960555
349	0.178247904
350	0.177511758
351	0.1771580289
352	0.1763672997
353	0.1756708913
354	0.1751151035
355	0.1745138255
356	0.1744982742
357	0.1740966604
358	0.1738600596
359	0.1733367843
360	0.1727571991
361	0.1722108168
362	0.171905089
363	0.1711476199
364	0.1707699831
365	0.1705890015
366	0.1700529917
367	0.1696045436
368	0.1689949476
369	0.168573204
370	0.1683034599
371	0.1678761462
372	0.1676120849
373	0.1669852904
374	0.1664647711
375	0.1659429107
376	0.1656429819
377	0.1654245478
378	0.1654142851
379	0.1652037017
380	0.1649698976
381	0.1642625454
382	0.1639224904
383	0.1635106402
384	0.1629466846
385	0.1623162779
386	0.1619832414
387	0.1616094923
388	0.1613470031
389	0.1610613327
390	0.1605414997
391	0.1604625795
392	0.1600093655
393	0.159570105
394	0.1589430827
395	0.1584673021
396	0.1581537041
397	0.1576965559
398	0.1573652957
399	0.1568734752
