Season,Round,TeamA,TeamB,SeedA,SeedB,label,AdjEM_A,AdjEM_B,d_AdjEM,AdjO_A,AdjO_B,d_AdjO,AdjD_A,AdjD_B,d_AdjD,AdjT_A,AdjT_B,d_AdjT,Luck_A,Luck_B,d_Luck,SOS-AdjEM_A,SOS-AdjEM_B,d_SOS-AdjEM,NCSOS-AdjEM_A,NCSOS-AdjEM_B,d_NCSOS-AdjEM,Momentum_A,Momentum_B,d_Momentum,OffEFG_A,OffEFG_B,d_OffEFG,DefEFG_A,DefEFG_B,d_DefEFG,d_Seed
2010,First Round,Clemson,Missouri,7,10,0,19.28,19.99,-0.7099999999999973,110.9,111.5,-0.5999999999999943,91.6,91.5,0.09999999999999432,67.6,68.8,-1.2000000000000028,-0.041,-0.035,-0.005999999999999998,8.76,8.17,0.5899999999999999,-2.85,-6.1,3.2499999999999996,9.67976664247653,14.762060642174983,-5.082293999698454,51.1,50.1,1.0,46.4,45.9,0.5,-3
2010,First Round,West Virginia,Morgan St.,2,15,1,25.54,1.58,23.96,117.2,105.5,11.700000000000003,91.7,104.0,-12.299999999999997,62.6,68.6,-5.999999999999993,0.057,0.078,-0.020999999999999998,12.58,-7.71,20.29,5.45,0.13,5.32,7.904469032343229,9.687688954308904,-1.7832199219656744,48.9,47.4,1.5,46.9,46.5,0.3999999999999986,-13
2010,First Round,Morgan St.,West Virginia,15,2,0,1.58,25.54,-23.96,105.5,117.2,-11.700000000000003,104.0,91.7,12.299999999999997,68.6,62.6,5.999999999999993,0.078,0.057,0.020999999999999998,-7.71,12.58,-20.29,0.13,5.45,-5.32,9.687688954308904,7.904469032343229,1.7832199219656744,47.4,48.9,-1.5,46.5,46.9,-0.3999999999999986,13
2010,Second Round,Kentucky,Wake Forest,1,9,1,26.54,14.12,12.42,114.9,107.1,7.800000000000011,88.3,93.0,-4.700000000000003,68.3,68.7,-0.4000000000000057,0.06,0.067,-0.007000000000000006,7.06,10.51,-3.45,-1.28,-0.82,-0.4600000000000001,7.992883864929439,19.242857546207432,-11.249973681277993,53.1,47.0,6.100000000000001,43.1,43.8,-0.6999999999999957,-8
2010,Second Round,Wake Forest,Kentucky,9,1,0,14.12,26.54,-12.42,107.1,114.9,-7.800000000000011,93.0,88.3,4.700000000000003,68.7,68.3,0.4000000000000057,0.067,0.06,0.007000000000000006,10.51,7.06,3.45,-0.82,-1.28,0.4600000000000001,19.242857546207432,7.992883864929439,11.249973681277993,47.0,53.1,-6.100000000000001,43.8,43.1,0.6999999999999957,8
2010,Second Round,Cornell,Wisconsin,12,4,1,15.92,23.56,-7.639999999999999,117.4,115.2,2.200000000000003,101.5,91.6,9.900000000000006,63.9,59.2,4.699999999999996,0.068,-0.013,0.081,-0.66,8.69,-9.35,4.12,1.01,3.1100000000000003,11.770165064837656,11.72670858432004,0.04345648051761586,56.6,51.4,5.200000000000003,48.1,46.8,1.3000000000000043,8
2010,Second Round,Wisconsin,Cornell,4,12,0,23.56,15.92,7.639999999999999,115.2,117.4,-2.200000000000003,91.6,101.5,-9.900000000000006,59.2,63.9,-4.699999999999996,-0.013,0.068,-0.081,8.69,-0.66,9.35,1.01,4.12,-3.1100000000000003,11.72670858432004,11.770165064837656,-0.04345648051761586,51.4,56.6,-5.200000000000003,46.8,48.1,-1.3000000000000043,-8
2010,Second Round,Washington,New Mexico,11,3,1,18.19,16.18,2.0100000000000016,111.7,113.6,-1.8999999999999915,93.6,97.4,-3.8000000000000114,71.7,67.4,4.299999999999997,0.029,0.096,-0.067,6.97,4.09,2.88,1.13,1.85,-0.7200000000000002,11.403201679433174,3.4294835481905253,7.973718131242649,49.7,50.6,-0.8999999999999986,46.5,49.5,-3.0,8
2010,Second Round,New Mexico,Washington,3,11,0,16.18,18.19,-2.0100000000000016,113.6,111.7,1.8999999999999915,97.4,93.6,3.8000000000000114,67.4,71.7,-4.299999999999997,0.096,0.029,0.067,4.09,6.97,-2.88,1.85,1.13,0.7200000000000002,3.4294835481905253,11.403201679433174,-7.973718131242649,50.6,49.7,0.8999999999999986,49.5,46.5,3.0,-8
2010,Second Round,West Virginia,Missouri,2,10,1,25.54,19.99,5.550000000000001,117.2,111.5,5.700000000000003,91.7,91.5,0.20000000000000284,62.6,68.8,-6.199999999999996,0.057,-0.035,0.092,12.58,8.17,4.41,5.45,-6.1,11.55,7.904469032343229,14.762060642174983,-6.857591609831754,48.9,50.1,-1.2000000000000028,46.9,45.9,1.0,-8
