Round,Feature,Coef,AbsCoef,n
R64,d_AdjEM,1.7868866107540173,1.7868866107540173,1022
R64,d_AdjO,1.5659324248036541,1.5659324248036541,1022
R64,d_AdjD,-1.621169356034657,1.621169356034657,1022
R64,d_AdjT,-0.016024798349031963,0.016024798349031963,1022
R64,d_Luck,1.0292658455620263,1.0292658455620263,1022
R64,d_SOS-AdjEM,1.1483764616695586,1.1483764616695586,1022
R64,d_NCSOS-AdjEM,-0.0566478945965001,0.0566478945965001,1022
R64,d_Momentum,-0.4464122926140707,0.4464122926140707,1022
R64,d_OffEFG,-0.04623177359150056,0.04623177359150056,1022
R64,d_DefEFG,-0.019175266631366008,0.019175266631366008,1022
R64,d_Seed,2.48242634329553,2.48242634329553,1022
R32,d_AdjEM,1.6993845479426157,1.6993845479426157,512
R32,d_AdjO,1.1608026859695757,1.1608026859695757,512
R32,d_AdjD,-1.3523885888808864,1.3523885888808864,512
R32,d_AdjT,0.1408520597323205,0.1408520597323205,512
R32,d_Luck,0.7932798142944592,0.7932798142944592,512
R32,d_SOS-AdjEM,1.4297248557624842,1.4297248557624842,512
R32,d_NCSOS-AdjEM,-0.06514900836081504,0.06514900836081504,512
R32,d_Momentum,-0.7268272337876036,0.7268272337876036,512
R32,d_OffEFG,0.23203110571921276,0.23203110571921276,512
R32,d_DefEFG,0.297341817022928,0.297341817022928,512
R32,d_Seed,2.401390836124723,2.401390836124723,512
S16,d_AdjEM,0.9181650813476224,0.9181650813476224,256
S16,d_AdjO,0.9760344444691436,0.9760344444691436,256
S16,d_AdjD,-0.2157924539322875,0.2157924539322875,256
S16,d_AdjT,-0.22895218383444488,0.22895218383444488,256
S16,d_Luck,1.2369678257751848,1.2369678257751848,256
S16,d_SOS-AdjEM,1.1477856191175413,1.1477856191175413,256
S16,d_NCSOS-AdjEM,0.11338263888671306,0.11338263888671306,256
S16,d_Momentum,-1.0956867912900592,1.0956867912900592,256
S16,d_OffEFG,-0.3352329131452173,0.3352329131452173,256
S16,d_DefEFG,-0.40750407170685804,0.40750407170685804,256
S16,d_Seed,1.2453373705486819,1.2453373705486819,256
E8,d_AdjEM,1.2375059288494203,1.2375059288494203,128
E8,d_AdjO,1.2087591256039918,1.2087591256039918,128
E8,d_AdjD,-0.3904273231641216,0.3904273231641216,128
E8,d_AdjT,-0.433914048728959,0.433914048728959,128
E8,d_Luck,0.7987467030075082,0.7987467030075082,128
E8,d_SOS-AdjEM,0.12132833263343056,0.12132833263343056,128
E8,d_NCSOS-AdjEM,0.12695111433385453,0.12695111433385453,128
E8,d_Momentum,-0.7274459163023055,0.7274459163023055,128
E8,d_OffEFG,-0.8488512865403578,0.8488512865403578,128
E8,d_DefEFG,-0.31386745269895894,0.31386745269895894,128
E8,d_Seed,1.4747494500124574,1.4747494500124574,128
F4,d_AdjEM,1.522641388991295,1.522641388991295,64
F4,d_AdjO,0.8871596981674745,0.8871596981674745,64
F4,d_AdjD,-1.280435933661881,1.280435933661881,64
F4,d_AdjT,0.07754180428481398,0.07754180428481398,64
F4,d_Luck,0.9153759246690084,0.9153759246690084,64
F4,d_SOS-AdjEM,0.7343773406473896,0.7343773406473896,64
F4,d_NCSOS-AdjEM,0.031377599069050015,0.031377599069050015,64
F4,d_Momentum,0.44300386208953435,0.44300386208953435,64
F4,d_OffEFG,0.356150937512037,0.356150937512037,64
F4,d_DefEFG,0.41682393519425304,0.41682393519425304,64
F4,d_Seed,0.8900798151107825,0.8900798151107825,64
NCG,d_AdjEM,1.1121699136129422,1.1121699136129422,32
NCG,d_AdjO,0.8028756230736256,0.8028756230736256,32
NCG,d_AdjD,-0.4010066397487385,0.4010066397487385,32
NCG,d_AdjT,0.26689117122586514,0.26689117122586514,32
NCG,d_Luck,1.0251019894976807,1.0251019894976807,32
NCG,d_SOS-AdjEM,0.9782969382913608,0.9782969382913608,32
NCG,d_NCSOS-AdjEM,-0.9559359513561464,0.9559359513561464,32
NCG,d_Momentum,-0.12521424436645814,0.12521424436645814,32
NCG,d_OffEFG,0.09813848489575903,0.09813848489575903,32
NCG,d_DefEFG,0.02059281056546627,0.02059281056546627,32
NCG,d_Seed,-1.010057348169343,1.010057348169343,32
