candidate,kind,mean_ev,std_ev,intercept,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8
4,random,1269.7919642857144,134.27299231209957,-0.023117589633228446,1.6430180802933558,1.857819661589978,-1.9101388901544372,-0.060653243710979604,0.9047794779085001,0.9352463586239602,0.2701393375233011,0.33206702294801316,2.277820871947089
8,random,1255.2982142857143,130.50167391314434,-0.05077895406037716,2.225301582021557,1.318559309361395,-1.649359330437923,-0.20857597156591712,0.7666387608433067,0.4445192388950635,0.25112042927868844,0.0781745398733385,1.997300566383534
1,random,1234.9205357142855,127.26605126164188,0.018437539204124855,1.7804152111307712,1.6115497835660355,-1.7026824291438811,0.24291750750117125,1.0585391954894858,0.8051984501744447,0.3741429943170956,0.25060754971104326,2.150179024288389
9,random,1216.5687500000001,152.59602412658424,-0.08373414723521794,1.9264037248026256,1.4125147991145262,-1.5932607622954074,-0.1299561859794879,0.8288934900281524,1.0551858334810515,0.13159483443642353,0.09407150488835977,2.1060887018027454
6,random,1215.5285714285715,135.18005679500962,0.0649614148893032,1.7536512812056282,1.595820520215508,-1.9112550557399937,-0.3387101043203077,0.5334163085436481,0.5393790688837703,0.19227624925594652,-0.09263954969198335,2.270461501499351
3,random,1199.966964285714,140.93475809869616,0.014455969934499123,1.9952644262929655,1.449372646119934,-1.4313811164838062,0.05223946607064617,0.9187633608145019,1.0065479702711881,0.14823157976875795,0.30345860491600557,2.3818969073814213
5,random,1190.2866071428573,144.8389580201526,-0.059791982279452066,2.032097197733609,1.5089369113579743,-1.4497865244813075,0.1794656122772983,0.7867545767021891,0.9028845851734936,-0.07314879269157544,0.042966752506763906,2.2695676665096163
0,baseline,1179.116071428571,144.7368230053205,-8.575941386691027e-17,1.8594758592166667,1.6157500729421077,-1.489421447250486,0.02306801378546411,0.8640912116322487,0.7886907757841407,0.09233269257508737,0.13373021414803185,2.3650021400091985
2,random,1151.430357142857,120.97144150088079,-0.04068863641239397,1.75239390367589,1.5277166853200503,-1.356344150862149,0.11442902987648369,0.9672743645312458,0.8963960265361114,0.6277445927927027,0.032126460051877956,2.236941457741314
10,random,1136.1276785714288,144.2183553568793,-0.007831894882904606,1.5632399176124105,1.3744708823840148,-1.6707279633844243,0.5551854468942552,0.6587445418261522,0.9983130767182269,-0.1333991019466692,0.3666234673665929,2.4612398815356644
7,random,1116.0678571428573,151.0106158840956,0.08008894456604569,1.4276457534185796,1.724355983828572,-1.4299875466674166,-0.1254694751387345,0.5025767480351351,0.8067231527126081,-0.04004048469086323,0.19189926698670784,2.3704651763900593
