Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2015,west,Sweet 16,2015-03-26,Arizona,2,68,Xavier,6,60
2015,west,Elite 8,2015-03-28,Wisconsin,1,85,Arizona,2,78
2015,national,Final Four,2015-04-04,Duke,1,81,Michigan St.,7,61
2015,national,Final Four,2015-04-04,Wisconsin,1,71,Kentucky,1,64
2015,national,Championship,2015-04-06,Duke,1,68,Wisconsin,1,63
2016,east,First Round,2016-03-17,North Carolina,1,83,Florida Gulf Coast,16,67
2016,east,First Round,2016-03-17,Providence,9,70,USC,8,69
2016,east,First Round,2016-03-17,Indiana,5,99,Chattanooga,12,74
2016,east,First Round,2016-03-17,Kentucky,4,85,Stony Brook,13,57
2016,east,First Round,2016-03-18,Notre Dame,6,70,Michigan,11,63
2016,east,First Round,2016-03-18,Stephen F. Austin,14,70,West Virginia,3,56
2016,east,First Round,2016-03-18,Wisconsin,7,47,Pittsburgh,10,43
2016,east,First Round,2016-03-18,Xavier,2,71,Weber St.,15,53
2016,east,Second Round,2016-03-19,North Carolina,1,85,Providence,9,66
2016,east,Second Round,2016-03-19,Indiana,5,73,Kentucky,4,67
2016,east,Second Round,2016-03-20,Notre Dame,6,76,Stephen F. Austin,14,75
2016,east,Second Round,2016-03-20,Wisconsin,7,66,Xavier,2,63
2016,east,Sweet 16,2016-03-25,North Carolina,1,101,Indiana,5,86
2016,east,Sweet 16,2016-03-25,Notre Dame,6,61,Wisconsin,7,56
2016,east,Elite 8,2016-03-27,North Carolina,1,88,Notre Dame,6,74
2016,midwest,First Round,2016-03-17,Virginia,1,81,Hampton,16,45
2016,midwest,First Round,2016-03-17,Butler,9,71,Texas Tech,8,61
2016,midwest,First Round,2016-03-17,Little Rock,12,85,Purdue,5,83
2016,midwest,First Round,2016-03-17,Iowa St.,4,94,Iona,13,81
2016,midwest,First Round,2016-03-17,Gonzaga,11,68,Seton Hall,6,52
2016,midwest,First Round,2016-03-17,Utah,3,80,Fresno St.,14,69
2016,midwest,First Round,2016-03-18,Syracuse,10,70,Dayton,7,51
2016,midwest,First Round,2016-03-18,Middle Tennessee,15,90,Michigan St.,2,81
2016,midwest,Second Round,2016-03-19,Virginia,1,77,Butler,9,69
2016,midwest,Second Round,2016-03-19,Iowa St.,4,78,Little Rock,12,61
2016,midwest,Second Round,2016-03-19,Gonzaga,11,82,Utah,3,59
2016,midwest,Second Round,2016-03-20,Syracuse,10,75,Middle Tennessee,15,50
2016,midwest,Sweet 16,2016-03-25,Virginia,1,84,Iowa St.,4,71
2016,midwest,Sweet 16,2016-03-25,Syracuse,10,63,Gonzaga,11,60
2016,midwest,Elite 8,2016-03-27,Syracuse,10,68,Virginia,1,62
2016,south,First Round,2016-03-17,Kansas,1,105,Austin Peay,16,79
2016,south,First Round,2016-03-17,Connecticut,9,74,Colorado,8,67
2016,south,First Round,2016-03-18,Maryland,5,79,South Dakota St.,12,74
2016,south,First Round,2016-03-18,Hawaii,13,77,California,4,66
2016,south,First Round,2016-03-17,Wichita St.,11,65,Arizona,6,55
2016,south,First Round,2016-03-17,Miami FL,3,79,Buffalo,14,72
2016,south,First Round,2016-03-18,Iowa,7,72,Temple,10,70
2016,south,First Round,2016-03-18,Villanova,2,86,UNC Asheville,15,56
2016,south,Second Round,2016-03-19,Kansas,1,73,Connecticut,9,61
2016,south,Second Round,2016-03-20,Maryland,5,73,Hawaii,13,60
2016,south,Second Round,2016-03-19,Miami FL,3,65,Wichita St.,11,57
2016,south,Second Round,2016-03-20,Villanova,2,87,Iowa,7,68
2016,south,Sweet 16,2016-03-24,Kansas,1,79,Maryland,5,63
2016,south,Sweet 16,2016-03-24,Villanova,2,92,Miami FL,3,69
2016,south,Elite 8,2016-03-26,Villanova,2,64,Kansas,1,59
2016,west,First Round,2016-03-18,Oregon,1,91,Holy Cross,16,52
2016,west,First Round,2016-03-18,Saint Joseph's,8,78,Cincinnati,9,76
2016,west,First Round,2016-03-17,Yale,12,79,Baylor,5,75
2016,west,First Round,2016-03-17,Duke,4,93,UNC Wilmington,13,85
2016,west,First Round,2016-03-18,Northern Iowa,11,75,Texas,6,72
2016,west,First Round,2016-03-18,Texas A&M,3,92,Green Bay,14,65
2016,west,First Round,2016-03-18,VCU,10,75,Oregon St.,7,67
2016,west,First Round,2016-03-18,Oklahoma,2,82,Cal St. Bakersfield,15,68
2016,west,Second Round,2016-03-20,Oregon,1,69,Saint Joseph's,8,64
2016,west,Second Round,2016-03-19,Duke,4,71,Yale,12,64
2016,west,Second Round,2016-03-20,Texas A&M,3,92,Northern Iowa,11,88
2016,west,Second Round,2016-03-20,Oklahoma,2,85,VCU,10,81
2016,west,Sweet 16,2016-03-24,Oregon,1,82,Duke,4,68
2016,west,Sweet 16,2016-03-24,Oklahoma,2,77,Texas A&M,3,63
2016,west,Elite 8,2016-03-26,Oklahoma,2,80,Oregon,1,68
2016,national,Final Four,2016-04-02,North Carolina,1,83,Syracuse,10,66
2016,national,Final Four,2016-04-02,Villanova,2,95,Oklahoma,2,51
2016,national,Championship,2016-04-04,Villanova,2,77,North Carolina,1,74
2017,east,First Round,2017-03-16,Villanova,1,76,Mount St. Mary's,16,56
2017,east,First Round,2017-03-16,Wisconsin,8,84,Virginia Tech,9,74
2017,east,First Round,2017-03-16,Virginia,5,76,UNC Wilmington,12,71
2017,east,First Round,2017-03-16,Florida,4,80,East Tennessee St.,13,65
2017,east,First Round,2017-03-17,USC,11,66,SMU,6,65
2017,east,First Round,2017-03-17,Baylor,3,91,New Mexico St.,14,73
2017,east,First Round,2017-03-17,South Carolina,7,93,Marquette,10,73
2017,east,First Round,2017-03-17,Duke,2,87,Troy,15,65
2017,east,Second Round,2017-03-18,Wisconsin,8,65,Villanova,1,62
2017,east,Second Round,2017-03-18,Florida,4,65,Virginia,5,39
2017,east,Second Round,2017-03-19,Baylor,3,82,USC,11,78
2017,east,Second Round,2017-03-19,South Carolina,7,88,Duke,2,81
2017,east,Sweet 16,2017-03-24,Florida,4,84,Wisconsin,8,83
2017,east,Sweet 16,2017-03-24,South Carolina,7,70,Baylor,3,50
2017,east,Elite 8,2017-03-26,South Carolina,7,77,Florida,4,70
2017,midwest,First Round,2017-03-17,Kansas,1,100,UC Davis,16,62
2017,midwest,First Round,2017-03-17,Michigan St.,9,78,Miami FL,8,58
2017,midwest,First Round,2017-03-16,Iowa St.,5,84,Nevada,12,73
2017,midwest,First Round,2017-03-16,Purdue,4,80,Vermont,13,70
2017,midwest,First Round,2017-03-17,Rhode Island,11,84,Creighton,6,72
2017,midwest,First Round,2017-03-17,Oregon,3,93,Iona,14,77
2017,midwest,First Round,2017-03-17,Michigan,7,92,Oklahoma St.,10,91
2017,midwest,First Round,2017-03-17,Louisville,2,78,Jacksonville St.,15,63
2017,midwest,Second Round,2017-03-19,Kansas,1,90,Michigan St.,9,70
2017,midwest,Second Round,2017-03-18,Purdue,4,80,Iowa St.,5,76
2017,midwest,Second Round,2017-03-19,Oregon,3,75,Rhode Island,11,72
2017,midwest,Second Round,2017-03-19,Michigan,7,73,Louisville,2,69
2017,midwest,Sweet 16,2017-03-23,Kansas,1,98,Purdue,4,66
2017,midwest,Sweet 16,2017-03-23,Oregon,3,69,Michigan,7,68
2017,midwest,Elite 8,2017-03-25,Oregon,3,74,Kansas,1,60
2017,south,First Round,2017-03-17,North Carolina,1,103,Texas Southern,16,64
2017,south,First Round,2017-03-17,Arkansas,8,77,Seton Hall,9,71
2017,south,First Round,2017-03-16,Middle Tennessee,12,81,Minnesota,5,72
2017,south,First Round,2017-03-16,Butler,4,76,Winthrop,13,64
2017,south,First Round,2017-03-17,Cincinnati,6,75,Kansas St.,11,61
2017,south,First Round,2017-03-17,UCLA,3,97,Kent St.,14,80
2017,south,First Round,2017-03-17,Wichita St.,10,64,Dayton,7,58
2017,south,First Round,2017-03-17,Kentucky,2,79,Northern Kentucky,15,70
2017,south,Second Round,2017-03-19,North Carolina,1,72,Arkansas,8,65
2017,south,Second Round,2017-03-18,Butler,4,74,Middle Tennessee,12,65
2017,south,Second Round,2017-03-19,UCLA,3,79,Cincinnati,6,67
2017,south,Second Round,2017-03-19,Kentucky,2,65,Wichita St.,10,62
2017,south,Sweet 16,2017-03-24,North Carolina,1,92,Butler,4,80
2017,south,Sweet 16,2017-03-24,Kentucky,2,86,UCLA,3,75
2017,south,Elite 8,2017-03-26,North Carolina,1,75,Kentucky,2,73
2017,west,First Round,2017-03-16,Gonzaga,1,66,South Dakota St.,16,46
2017,west,First Round,2017-03-16,Northwestern,8,68,Vanderbilt,9,66
2017,west,First Round,2017-03-16,Notre Dame,5,60,Princeton,12,58
2017,west,First Round,2017-03-16,West Virginia,4,86,Bucknell,13,80
2017,west,First Round,2017-03-16,Xavier,11,76,Maryland,6,65
2017,west,First Round,2017-03-16,Florida St.,3,86,Florida Gulf Coast,14,80
2017,west,First Round,2017-03-16,Saint Mary's,7,85,VCU,10,77
2017,west,First Round,2017-03-16,Arizona,2,100,North Dakota,15,82
2017,west,Second Round,2017-03-18,Gonzaga,1,79,Northwestern,8,73
2017,west,Second Round,2017-03-18,West Virginia,4,83,Notre Dame,5,71
2017,west,Second Round,2017-03-18,Xavier,11,91,Florida St.,3,66
2017,west,Second Round,2017-03-18,Arizona,2,69,Saint Mary's,7,60
2017,west,Sweet 16,2017-03-23,Gonzaga,1,61,West Virginia,4,58
2017,west,Sweet 16,2017-03-23,Xavier,11,73,Arizona,2,71
2017,west,Elite 8,2017-03-25,Gonzaga,1,83,Xavier,11,59
2017,national,Final Four,2017-04-01,Gonzaga,1,77,South Carolina,7,73
2017,national,Final Four,2017-04-01,North Carolina,1,77,Oregon,3,76
2017,national,Championship,2017-04-03,North Carolina,1,71,Gonzaga,1,65
2018,east,First Round,2018-03-15,Villanova,1,87,Radford,16,61
2018,east,First Round,2018-03-15,Alabama,9,86,Virginia Tech,8,83
2018,east,First Round,2018-03-16,West Virginia,5,85,Murray St.,12,68
2018,east,First Round,2018-03-16,Marshall,13,81,Wichita St.,4,75
2018,east,First Round,2018-03-15,Florida,6,77,St. Bonaventure,11,62
2018,east,First Round,2018-03-15,Texas Tech,3,70,Stephen F. Austin,14,60
2018,east,First Round,2018-03-16,Butler,10,79,Arkansas,7,62
2018,east,First Round,2018-03-16,Purdue,2,74,Cal St. Fullerton,15,48
2018,east,Second Round,2018-03-17,Villanova,1,81,Alabama,9,58
2018,east,Second Round,2018-03-18,West Virginia,5,94,Marshall,13,71
2018,east,Second Round,2018-03-17,Texas Tech,3,69,Florida,6,66
2018,east,Second Round,2018-03-18,Purdue,2,76,Butler,10,73
2018,east,Sweet 16,2018-03-23,Villanova,1,90,West Virginia,5,78
2018,east,Sweet 16,2018-03-23,Texas Tech,3,78,Purdue,2,65
2018,east,Elite 8,2018-03-25,Villanova,1,71,Texas Tech,3,59
2018,midwest,First Round,2018-03-15,Kansas,1,76,Penn,16,60
2018,midwest,First Round,2018-03-15,Seton Hall,8,94,N.C. St.,9,83
2018,midwest,First Round,2018-03-16,Clemson,5,79,New Mexico St.,12,68
2018,midwest,First Round,2018-03-16,Auburn,4,62,College of Charleston,13,58
2018,midwest,First Round,2018-03-16,Syracuse,11,57,TCU,6,52
2018,midwest,First Round,2018-03-16,Michigan St.,3,82,Bucknell,14,78
2018,midwest,First Round,2018-03-15,Rhode Island,7,83,Oklahoma,10,78
2018,midwest,First Round,2018-03-15,Duke,2,89,Iona,15,67
2018,midwest,Second Round,2018-03-17,Kansas,1,83,Seton Hall,8,79
2018,midwest,Second Round,2018-03-18,Clemson,5,84,Auburn,4,53
2018,midwest,Second Round,2018-03-18,Syracuse,11,55,Michigan St.,3,53
2018,midwest,Second Round,2018-03-17,Duke,2,87,Rhode Island,7,62
2018,midwest,Sweet 16,2018-03-23,Kansas,1,80,Clemson,5,76
2018,midwest,Sweet 16,2018-03-23,Duke,2,69,Syracuse,11,65
2018,midwest,Elite 8,2018-03-25,Kansas,1,85,Duke,2,81
2018,south,First Round,2018-03-16,UMBC,16,74,Virginia,1,54
2018,south,First Round,2018-03-16,Kansas St.,9,69,Creighton,8,59
2018,south,First Round,2018-03-15,Kentucky,5,78,Davidson,12,73
2018,south,First Round,2018-03-15,Buffalo,13,89,Arizona,4,68
2018,south,First Round,2018-03-15,Loyola Chicago,11,64,Miami FL,6,62
2018,south,First Round,2018-03-15,Tennessee,3,73,Wright St.,14,47
2018,south,First Round,2018-03-16,Nevada,7,87,Texas,10,83
2018,south,First Round,2018-03-16,Cincinnati,2,68,Georgia St.,15,53
2018,south,Second Round,2018-03-18,Kansas St.,9,50,UMBC,16,43
2018,south,Second Round,2018-03-17,Kentucky,5,95,Buffalo,13,75
2018,south,Second Round,2018-03-17,Loyola Chicago,11,63,Tennessee,3,62
2018,south,Second Round,2018-03-18,Nevada,7,75,Cincinnati,2,73
2018,south,Sweet 16,2018-03-22,Kansas St.,9,61,Kentucky,5,58
2018,south,Sweet 16,2018-03-22,Loyola Chicago,11,69,Nevada,7,68
2018,south,Elite 8,2018-03-24,Loyola Chicago,11,78,Kansas St.,9,62
2018,west,First Round,2018-03-16,Xavier,1,102,Texas Southern,16,83
2018,west,First Round,2018-03-16,Florida St.,9,67,Missouri,8,54
2018,west,First Round,2018-03-15,Ohio St.,5,81,South Dakota St.,12,73
2018,west,First Round,2018-03-15,Gonzaga,4,68,UNC Greensboro,13,64
2018,west,First Round,2018-03-15,Houston,6,67,San Diego St.,11,65
2018,west,First Round,2018-03-15,Michigan,3,61,Montana,14,47
2018,west,First Round,2018-03-16,Texas A&M,7,73,Providence,10,69
2018,west,First Round,2018-03-16,North Carolina,2,84,Lipscomb,15,66
2018,west,Second Round,2018-03-18,Florida St.,9,75,Xavier,1,70
2018,west,Second Round,2018-03-17,Gonzaga,4,90,Ohio St.,5,84
2018,west,Second Round,2018-03-17,Michigan,3,64,Houston,6,63
2018,west,Second Round,2018-03-18,Texas A&M,7,86,North Carolina,2,65
2018,west,Sweet 16,2018-03-22,Florida St.,9,75,Gonzaga,4,60
2018,west,Sweet 16,2018-03-22,Michigan,3,99,Texas A&M,7,72
2018,west,Elite 8,2018-03-24,Michigan,3,58,Florida St.,9,54
2018,national,Final Four,2018-03-31,Villanova,1,95,Kansas,1,79
2018,national,Final Four,2018-03-31,Michigan,3,69,Loyola Chicago,11,57
2018,national,Championship,2018-04-02,Villanova,1,79,Michigan,3,62
2019,east,First Round,2019-03-22,Duke,1,85,North Dakota St.,16,62
2019,east,First Round,2019-03-22,UCF,9,73,VCU,8,58
2019,east,First Round,2019-03-22,Liberty,12,80,Mississippi St.,5,76
2019,east,First Round,2019-03-22,Virginia Tech,4,66,Saint Louis,13,52
2019,east,First Round,2019-03-21,Maryland,6,79,Belmont,11,77
2019,east,First Round,2019-03-21,LSU,3,79,Yale,14,74
2019,east,First Round,2019-03-21,Minnesota,10,86,Louisville,7,76
2019,east,First Round,2019-03-21,Michigan St.,2,76,Bradley,15,65
2019,east,Second Round,2019-03-24,Duke,1,77,UCF,9,76
2019,east,Second Round,2019-03-24,Virginia Tech,4,67,Liberty,12,58
2019,east,Second Round,2019-03-23,LSU,3,69,Maryland,6,67
2019,east,Second Round,2019-03-23,Michigan St.,2,70,Minnesota,10,50
2019,east,Sweet 16,2019-03-29,Duke,1,75,Virginia Tech,4,73
2019,east,Sweet 16,2019-03-29,Michigan St.,2,80,LSU,3,63
2019,east,Elite 8,2019-03-31,Michigan St.,2,68,Duke,1,67
2019,midwest,First Round,2019-03-22,North Carolina,1,88,Iona,16,73
2019,midwest,First Round,2019-03-22,Washington,9,78,Utah St.,8,61
2019,midwest,First Round,2019-03-21,Auburn,5,78,New Mexico St.,12,77
2019,midwest,First Round,2019-03-21,Kansas,4,87,Northeastern,13,53
2019,midwest,First Round,2019-03-22,Ohio St.,11,62,Iowa St.,6,59
2019,midwest,First Round,2019-03-22,Houston,3,84,Georgia St.,14,55
2019,midwest,First Round,2019-03-21,Wofford,7,84,Seton Hall,10,68
2019,midwest,First Round,2019-03-21,Kentucky,2,79,Abilene Christian,15,44
2019,midwest,Second Round,2019-03-24,North Carolina,1,81,Washington,9,59
2019,midwest,Second Round,2019-03-23,Auburn,5,89,Kansas,4,75
2019,midwest,Second Round,2019-03-24,Houston,3,74,Ohio St.,11,59
2019,midwest,Second Round,2019-03-23,Kentucky,2,62,Wofford,7,56
2019,midwest,Sweet 16,2019-03-29,Auburn,5,97,North Carolina,1,80
2019,midwest,Sweet 16,2019-03-29,Kentucky,2,62,Houston,3,58
2019,midwest,Elite 8,2019-03-31,Auburn,5,77,Kentucky,2,71
2019,south,First Round,2019-03-22,Virginia,1,71,Gardner Webb,16,56
2019,south,First Round,2019-03-22,Oklahoma,9,95,Mississippi,8,72
2019,south,First Round,2019-03-22,Oregon,12,72,Wisconsin,5,54
2019,south,First Round,2019-03-22,UC Irvine,13,70,Kansas St.,4,64
2019,south,First Round,2019-03-21,Villanova,6,61,Saint Mary's,11,57
2019,south,First Round,2019-03-21,Purdue,3,61,Old Dominion,14,48
2019,south,First Round,2019-03-22,Iowa,10,79,Cincinnati,7,72
2019,south,First Round,2019-03-22,Tennessee,2,77,Colgate,15,70
2019,south,Second Round,2019-03-24,Virginia,1,63,Oklahoma,9,51
2019,south,Second Round,2019-03-24,Oregon,12,73,UC Irvine,13,54
2019,south,Second Round,2019-03-23,Purdue,3,87,Villanova,6,61
2019,south,Second Round,2019-03-24,Tennessee,2,83,Iowa,10,77
2019,south,Sweet 16,2019-03-28,Virginia,1,53,Oregon,12,49
2019,south,Sweet 16,2019-03-28,Purdue,3,99,Tennessee,2,94
2019,south,Elite 8,2019-03-30,Virginia,1,80,Purdue,3,75
2019,west,First Round,2019-03-21,Gonzaga,1,87,Fairleigh Dickinson,16,49
2019,west,First Round,2019-03-21,Baylor,9,78,Syracuse,8,69
2019,west,First Round,2019-03-21,Murray St.,12,83,Marquette,5,64
2019,west,First Round,2019-03-21,Florida St.,4,76,Vermont,13,69
2019,west,First Round,2019-03-22,Buffalo,6,91,Arizona St.,11,74
2019,west,First Round,2019-03-22,Texas Tech,3,72,Northern Kentucky,14,57
2019,west,First Round,2019-03-21,Florida,10,70,Nevada,7,61
2019,west,First Round,2019-03-21,Michigan,2,74,Montana,15,55
2019,west,Second Round,2019-03-23,Gonzaga,1,83,Baylor,9,71
2019,west,Second Round,2019-03-23,Florida St.,4,90,Murray St.,12,62
2019,west,Second Round,2019-03-24,Texas Tech,3,78,Buffalo,6,58
2019,west,Second Round,2019-03-23,Michigan,2,64,Florida,10,49
2019,west,Sweet 16,2019-03-28,Gonzaga,1,72,Florida St.,4,58
2019,west,Sweet 16,2019-03-28,Texas Tech,3,63,Michigan,2,44
2019,west,Elite 8,2019-03-30,Texas Tech,3,75,Gonzaga,1,69
2019,national,Final Four,2019-04-06,Texas Tech,3,61,Michigan St.,2,51
2019,national,Final Four,2019-04-06,Virginia,1,63,Auburn,5,62
2019,national,Championship,2019-04-08,Virginia,1,85,Texas Tech,3,77
2021,east,First Round,2021-03-20,Michigan,1,82,Texas Southern,16,66
2021,east,First Round,2021-03-20,LSU,8,76,St. Bonaventure,9,61
2021,east,First Round,2021-03-20,Colorado,5,96,Georgetown,12,73
2021,east,First Round,2021-03-20,Florida St.,4,64,UNC Greensboro,13,54
2021,east,First Round,2021-03-20,UCLA,11,73,BYU,6,62
2021,east,First Round,2021-03-20,Abilene Christian,14,53,Texas,3,52
2021,east,First Round,2021-03-20,Maryland,10,63,Connecticut,7,54
2021,east,First Round,2021-03-20,Alabama,2,68,Iona,15,55
2021,east,Second Round,2021-03-22,Michigan,1,86,LSU,8,78
2021,east,Second Round,2021-03-22,Florida St.,4,71,Colorado,5,53
2021,east,Second Round,2021-03-22,UCLA,11,67,Abilene Christian,14,47
2021,east,Second Round,2021-03-22,Alabama,2,96,Maryland,10,77
2021,east,Sweet 16,2021-03-28,Michigan,1,76,Florida St.,4,58
2021,east,Sweet 16,2021-03-28,UCLA,11,88,Alabama,2,78
2021,east,Elite 8,2021-03-30,UCLA,11,51,Michigan,1,49
2021,midwest,First Round,2021-03-19,Illinois,1,78,Drexel,16,49
2021,midwest,First Round,2021-03-19,Loyola Chicago,8,71,Georgia Tech,9,60
2021,midwest,First Round,2021-03-19,Oregon St.,12,70,Tennessee,5,56
2021,midwest,First Round,2021-03-19,Oklahoma St.,4,69,Liberty,13,60
2021,midwest,First Round,2021-03-19,Syracuse,11,78,San Diego St.,6,62
2021,midwest,First Round,2021-03-19,West Virginia,3,84,Morehead St.,14,67
2021,midwest,First Round,2021-03-19,Rutgers,10,60,Clemson,7,56
2021,midwest,First Round,2021-03-19,Houston,2,87,Cleveland St.,15,56
2021,midwest,Second Round,2021-03-21,Loyola Chicago,8,71,Illinois,1,58
2021,midwest,Second Round,2021-03-21,Oregon St.,12,80,Oklahoma St.,4,70
2021,midwest,Second Round,2021-03-21,Syracuse,11,75,West Virginia,3,72
2021,midwest,Second Round,2021-03-21,Houston,2,63,Rutgers,10,60
2021,midwest,Sweet 16,2021-03-27,Oregon St.,12,65,Loyola Chicago,8,58
2021,midwest,Sweet 16,2021-03-27,Houston,2,62,Syracuse,11,46
2021,midwest,Elite 8,2021-03-29,Houston,2,67,Oregon St.,12,61
2021,south,First Round,2021-03-19,Baylor,1,79,Hartford,16,55
2021,south,First Round,2021-03-19,Wisconsin,9,85,North Carolina,8,62
2021,south,First Round,2021-03-19,Villanova,5,73,Winthrop,12,63
2021,south,First Round,2021-03-19,North Texas,13,78,Purdue,4,69
2021,south,First Round,2021-03-19,Texas Tech,6,65,Utah St.,11,53
2021,south,First Round,2021-03-19,Arkansas,3,85,Colgate,14,68
2021,south,First Round,2021-03-19,Florida,7,75,Virginia Tech,10,70
2021,south,First Round,2021-03-19,Oral Roberts,15,75,Ohio St.,2,72
2021,south,Second Round,2021-03-21,Baylor,1,76,Wisconsin,9,63
2021,south,Second Round,2021-03-21,Villanova,5,84,North Texas,13,61
2021,south,Second Round,2021-03-21,Arkansas,3,68,Texas Tech,6,66
2021,south,Second Round,2021-03-21,Oral Roberts,15,81,Florida,7,78
2021,south,Sweet 16,2021-03-27,Baylor,1,62,Villanova,5,51
2021,south,Sweet 16,2021-03-27,Arkansas,3,72,Oral Roberts,15,70
2021,south,Elite 8,2021-03-29,Baylor,1,81,Arkansas,3,72
2021,west,First Round,2021-03-20,Gonzaga,1,98,Norfolk St.,16,55
2021,west,First Round,2021-03-20,Oklahoma,8,72,Missouri,9,68
2021,west,First Round,2021-03-20,Creighton,5,63,UC Santa Barbara,12,62
2021,west,First Round,2021-03-20,Ohio,13,62,Virginia,4,58
2021,west,First Round,2021-03-20,USC,6,72,Drake,11,56
2021,west,First Round,2021-03-20,Kansas,3,93,Eastern Washington,14,84
2021,west,First Round,2021-03-20,Iowa,2,86,Grand Canyon,15,74
2021,west,Second Round,2021-03-22,Gonzaga,1,87,Oklahoma,8,71
2021,west,Second Round,2021-03-22,Creighton,5,72,Ohio,13,58
2021,west,Second Round,2021-03-22,USC,6,85,Kansas,3,51
2021,west,Second Round,2021-03-22,Oregon,7,95,Iowa,2,80
2021,west,Sweet 16,2021-03-28,Gonzaga,1,83,Creighton,5,65
2021,west,Sweet 16,2021-03-28,USC,6,82,Oregon,7,68
2021,west,Elite 8,2021-03-30,Gonzaga,1,85,USC,6,66
2021,national,Final Four,2021-04-03,Gonzaga,1,93,UCLA,11,90
2021,national,Final Four,2021-04-03,Baylor,1,78,Houston,2,59
2021,national,Championship,2021-04-05,Baylor,1,86,Gonzaga,1,70
2022,east,First Round,2022-03-17,Baylor,1,85,Norfolk St.,16,49
2022,east,First Round,2022-03-17,North Carolina,8,95,Marquette,9,63
2022,east,First Round,2022-03-17,Saint Mary's,5,82,Indiana,12,53
2022,east,First Round,2022-03-17,UCLA,4,57,Akron,13,53
2022,east,First Round,2022-03-18,Texas,6,81,Virginia Tech,11,73
2022,east,First Round,2022-03-18,Purdue,3,78,Yale,14,56
2022,east,First Round,2022-03-17,Murray St.,7,92,San Francisco,10,87
2022,east,First Round,2022-03-17,Saint Peter's,15,85,Kentucky,2,79
2022,east,Second Round,2022-03-19,North Carolina,8,93,Baylor,1,86
2022,east,Second Round,2022-03-19,UCLA,4,72,Saint Mary's,5,56
2022,east,Second Round,2022-03-20,Purdue,3,81,Texas,6,71
2022,east,Second Round,2022-03-19,Saint Peter's,15,70,Murray St.,7,60
2022,east,Sweet 16,2022-03-25,North Carolina,8,73,UCLA,4,66
2022,east,Sweet 16,2022-03-25,Saint Peter's,15,67,Purdue,3,64
2022,east,Elite 8,2022-03-27,North Carolina,8,69,Saint Peter's,15,49
2022,midwest,First Round,2022-03-17,Kansas,1,83,Texas Southern,16,56
2022,midwest,First Round,2022-03-17,Creighton,9,72,San Diego St.,8,69
2022,midwest,First Round,2022-03-17,Richmond,12,67,Iowa,5,63
2022,midwest,First Round,2022-03-17,Providence,4,66,South Dakota St.,13,57
2022,midwest,First Round,2022-03-18,Iowa St.,11,59,LSU,6,54
2022,midwest,First Round,2022-03-18,Wisconsin,3,67,Colgate,14,60
2022,midwest,First Round,2022-03-18,Miami FL,10,68,USC,7,66
2022,midwest,First Round,2022-03-18,Auburn,2,80,Jacksonville St.,15,61
2022,midwest,Second Round,2022-03-19,Kansas,1,79,Creighton,9,72
2022,midwest,Second Round,2022-03-19,Providence,4,79,Richmond,12,51
2022,midwest,Second Round,2022-03-20,Iowa St.,11,54,Wisconsin,3,49
2022,midwest,Second Round,2022-03-20,Miami FL,10,79,Auburn,2,61
2022,midwest,Sweet 16,2022-03-25,Kansas,1,66,Providence,4,61
2022,midwest,Sweet 16,2022-03-25,Miami FL,10,70,Iowa St.,11,56
2022,midwest,Elite 8,2022-03-27,Kansas,1,76,Miami FL,10,50
2022,south,First Round,2022-03-18,Arizona,1,87,Wright St.,16,70
2022,south,First Round,2022-03-18,TCU,9,69,Seton Hall,8,42
2022,south,First Round,2022-03-18,Houston,5,82,UAB,12,68
2022,south,First Round,2022-03-18,Illinois,4,54,Chattanooga,13,53
2022,south,First Round,2022-03-17,Michigan,11,75,Colorado St.,6,63
2022,south,First Round,2022-03-17,Tennessee,3,88,Longwood,14,56
2022,south,First Round,2022-03-18,Ohio St.,7,54,Loyola Chicago,10,41
2022,south,First Round,2022-03-18,Villanova,2,80,Delaware,15,60
2022,south,Second Round,2022-03-20,Arizona,1,85,TCU,9,80
2022,south,Second Round,2022-03-20,Houston,5,68,Illinois,4,53
2022,south,Second Round,2022-03-19,Michigan,11,76,Tennessee,3,68
2022,south,Second Round,2022-03-20,Villanova,2,71,Ohio St.,7,61
2022,south,Sweet 16,2022-03-24,Houston,5,72,Arizona,1,60
2022,south,Sweet 16,2022-03-24,Villanova,2,63,Michigan,11,55
2022,south,Elite 8,2022-03-26,Villanova,2,50,Houston,5,44
2022,west,First Round,2022-03-17,Gonzaga,1,93,Georgia St.,16,72
2022,west,First Round,2022-03-17,Memphis,9,64,Boise St.,8,53
2022,west,First Round,2022-03-17,New Mexico St.,12,70,Connecticut,5,63
2022,west,First Round,2022-03-17,Arkansas,4,75,Vermont,13,71
2022,west,First Round,2022-03-18,Notre Dame,11,78,Alabama,6,64
2022,west,First Round,2022-03-18,Texas Tech,3,97,Montana St.,14,62
2022,west,First Round,2022-03-18,Michigan St.,7,74,Davidson,10,73
2022,west,First Round,2022-03-18,Duke,2,78,Cal St. Fullerton,15,61
2022,west,Second Round,2022-03-19,Gonzaga,1,82,Memphis,9,78
2022,west,Second Round,2022-03-19,Arkansas,4,53,New Mexico St.,12,48
2022,west,Second Round,2022-03-20,Texas Tech,3,59,Notre Dame,11,53
2022,west,Second Round,2022-03-20,Duke,2,85,Michigan St.,7,76
