Season,Region,Round,Date,WTeam,WSeed,WScore,LTeam,LSeed,LScore
2011,southeast,First Round,2011-03-17,Florida,2,79,UC Santa Barbara,15,51
2011,southeast,Second Round,2011-03-19,Butler,8,71,Pittsburgh,1,70
2011,southeast,Second Round,2011-03-19,Wisconsin,4,70,Kansas St.,5,65
2011,southeast,Second Round,2011-03-19,BYU,3,89,Gonzaga,11,67
2011,southeast,Second Round,2011-03-19,Florida,2,73,UCLA,7,65
2011,southeast,Sweet 16,2011-03-24,Butler,8,61,Wisconsin,4,54
2011,southeast,Sweet 16,2011-03-24,Florida,2,83,BYU,3,74
2011,southeast,Elite 8,2011-03-26,Butler,8,74,Florida,2,71
2011,southwest,First Round,2011-03-18,Kansas,1,72,Boston University,16,53
2011,southwest,First Round,2011-03-18,Illinois,9,73,UNLV,8,62
2011,southwest,First Round,2011-03-17,Richmond,12,69,Vanderbilt,5,66
2011,southwest,First Round,2011-03-17,Morehead St.,13,62,Louisville,4,61
2011,southwest,First Round,2011-03-18,VCU,11,74,Georgetown,6,56
2011,southwest,First Round,2011-03-18,Purdue,3,65,Saint Peter's,14,43
2011,southwest,First Round,2011-03-18,Florida St.,10,57,Texas A&M,7,50
2011,southwest,First Round,2011-03-18,Notre Dame,2,69,Akron,15,56
2011,southwest,Second Round,2011-03-20,Kansas,1,73,Illinois,9,59
2011,southwest,Second Round,2011-03-19,Richmond,12,65,Morehead St.,13,48
2011,southwest,Second Round,2011-03-20,VCU,11,94,Purdue,3,76
2011,southwest,Second Round,2011-03-20,Florida St.,10,71,Notre Dame,2,57
2011,southwest,Sweet 16,2011-03-25,Kansas,1,77,Richmond,12,57
2011,southwest,Sweet 16,2011-03-25,VCU,11,72,Florida St.,10,71
2011,southwest,Elite 8,2011-03-27,VCU,11,71,Kansas,1,61
2011,west,First Round,2011-03-18,Duke,1,87,Hampton,16,45
2011,west,First Round,2011-03-18,Michigan,8,75,Tennessee,9,45
2011,west,First Round,2011-03-18,Arizona,5,77,Memphis,12,75
2011,west,First Round,2011-03-18,Texas,4,85,Oakland,13,81
2011,west,First Round,2011-03-17,Cincinnati,6,78,Missouri,11,63
2011,west,First Round,2011-03-17,Connecticut,3,81,Bucknell,14,52
2011,west,First Round,2011-03-17,Temple,7,66,Penn St.,10,64
2011,west,First Round,2011-03-17,San Diego St.,2,68,Northern Colorado,15,50
2011,west,Second Round,2011-03-20,Duke,1,73,Michigan,8,71
2011,west,Second Round,2011-03-20,Arizona,5,70,Texas,4,69
2011,west,Second Round,2011-03-19,Connecticut,3,69,Cincinnati,6,58
2011,west,Second Round,2011-03-19,San Diego St.,2,71,Temple,7,64
2011,west,Sweet 16,2011-03-24,Arizona,5,93,Duke,1,77
2011,west,Sweet 16,2011-03-24,Connecticut,3,74,San Diego St.,2,67
2011,west,Elite 8,2011-03-26,Connecticut,3,65,Arizona,5,63
2011,national,Final Four,2011-04-02,Connecticut,3,56,Kentucky,4,55
2011,national,Final Four,2011-04-02,Butler,8,70,VCU,11,62
2011,national,Championship,2011-04-04,Connecticut,3,53,Butler,8,41
2012,east,First Round,2012-03-15,Syracuse,1,72,UNC Asheville,16,65
2012,east,First Round,2012-03-15,Kansas St.,8,70,Southern Miss,9,64
2012,east,First Round,2012-03-15,Vanderbilt,5,79,Harvard,12,70
2012,east,First Round,2012-03-15,Wisconsin,4,73,Montana,13,49
2012,east,First Round,2012-03-16,Cincinnati,6,65,Texas,11,59
2012,east,First Round,2012-03-16,Florida St.,3,66,St. Bonaventure,14,63
2012,east,First Round,2012-03-15,Gonzaga,7,77,West Virginia,10,54
2012,east,First Round,2012-03-15,Ohio St.,2,78,Loyola MD,15,59
2012,east,Second Round,2012-03-17,Syracuse,1,75,Kansas St.,8,59
2012,east,Second Round,2012-03-17,Wisconsin,4,60,Vanderbilt,5,57
2012,east,Second Round,2012-03-18,Cincinnati,6,62,Florida St.,3,56
2012,east,Second Round,2012-03-17,Ohio St.,2,73,Gonzaga,7,66
2012,east,Sweet 16,2012-03-22,Syracuse,1,64,Wisconsin,4,63
2012,east,Sweet 16,2012-03-22,Ohio St.,2,81,Cincinnati,6,66
2012,east,Elite 8,2012-03-24,Ohio St.,2,77,Syracuse,1,70
2012,midwest,First Round,2012-03-16,North Carolina,1,77,Vermont,16,58
2012,midwest,First Round,2012-03-16,Creighton,8,58,Alabama,9,57
2012,midwest,First Round,2012-03-16,South Florida,12,58,Temple,5,44
2012,midwest,First Round,2012-03-16,Ohio,13,65,Michigan,4,60
2012,midwest,First Round,2012-03-16,N.C. St.,11,79,San Diego St.,6,65
2012,midwest,First Round,2012-03-16,Georgetown,3,74,Belmont,14,59
2012,midwest,First Round,2012-03-16,Purdue,10,72,Saint Mary's,7,69
2012,midwest,First Round,2012-03-16,Kansas,2,65,Detroit,15,50
2012,midwest,Second Round,2012-03-18,North Carolina,1,87,Creighton,8,73
2012,midwest,Second Round,2012-03-18,Ohio,13,62,South Florida,12,56
2012,midwest,Second Round,2012-03-18,N.C. St.,11,66,Georgetown,3,63
2012,midwest,Second Round,2012-03-18,Kansas,2,63,Purdue,10,60
2012,midwest,Sweet 16,2012-03-23,North Carolina,1,73,Ohio,13,65
2012,midwest,Sweet 16,2012-03-23,Kansas,2,60,N.C. St.,11,57
2012,midwest,Elite 8,2012-03-25,Kansas,2,80,North Carolina,1,67
2012,south,First Round,2012-03-15,Kentucky,1,81,Western Kentucky,16,66
2012,south,First Round,2012-03-15,Iowa St.,8,77,Connecticut,9,64
2012,south,First Round,2012-03-15,VCU,12,62,Wichita St.,5,59
2012,south,First Round,2012-03-15,Indiana,4,79,New Mexico St.,13,66
2012,south,First Round,2012-03-15,Colorado,11,68,UNLV,6,64
2012,south,First Round,2012-03-15,Baylor,3,68,South Dakota St.,14,60
2012,south,First Round,2012-03-16,Xavier,10,67,Notre Dame,7,63
2012,south,First Round,2012-03-16,Lehigh,15,75,Duke,2,70
2012,south,Second Round,2012-03-17,Kentucky,1,87,Iowa St.,8,71
2012,south,Second Round,2012-03-17,Indiana,4,63,VCU,12,61
2012,south,Second Round,2012-03-17,Baylor,3,80,Colorado,11,63
2012,south,Second Round,2012-03-18,Xavier,10,70,Lehigh,15,58
2012,south,Sweet 16,2012-03-23,Kentucky,1,102,Indiana,4,90
2012,south,Sweet 16,2012-03-23,Baylor,3,75,Xavier,10,70
2012,south,Elite 8,2012-03-25,Kentucky,1,82,Baylor,3,70
2012,west,First Round,2012-03-16,Michigan St.,1,89,LIU,16,67
2012,west,First Round,2012-03-16,Saint Louis,9,61,Memphis,8,54
